timestamp,duration,presses,clicks,deltaX,deltaY,scrollX,scrollY
2026-06-10 09:24:15.003000+00:00,0:00:04.999218,4,0,0,0,0,0
2026-06-10 09:24:10.772000+00:00,0:00:04.230319,0,2,840,359,0,0
2026-06-09 19:13:55.004000+00:00,2:59:50.000061,0,0,0,0,0,0
2026-06-09 19:13:50.004000+00:00,0:00:05.000499,0,1,893,563,0,0
2026-06-09 19:13:45.005000+00:00,0:00:04.998943,0,1,1423,1668,0,2
2026-06-09 19:13:40.004000+00:00,0:00:05.001033,0,1,2973,939,0,0
2026-06-09 19:13:35+00:00,0:00:05.003306,0,1,811,771,0,0
2026-06-09 19:12:10.005000+00:00,0:01:24.995746,0,0,0,0,0,0
2026-06-09 19:12:05.004000+00:00,0:00:05.001091,0,0,1221,839,0,9
2026-06-09 19:12:00.004000+00:00,0:00:05.000017,0,2,1152,116,0,19
2026-06-09 19:11:55.005000+00:00,0:00:04.998946,1,0,249,100,0,45
2026-06-09 19:11:50.004000+00:00,0:00:05.001055,1,1,516,758,0,15
2026-06-09 19:11:45.007000+00:00,0:00:04.997091,0,4,955,471,0,5
2026-06-09 19:11:40.004000+00:00,0:00:05.002921,0,3,1101,343,0,5
2026-06-09 19:11:35.004000+00:00,0:00:04.999903,0,2,2678,1188,0,7
2026-06-09 19:11:30.004000+00:00,0:00:04.999730,0,3,460,257,0,0
2026-06-09 19:11:25.005000+00:00,0:00:04.999335,0,1,331,699,0,0
2026-06-09 19:11:20.003000+00:00,0:00:05.001526,4,0,0,0,0,0
2026-06-09 19:11:15.004000+00:00,0:00:04.999498,19,0,0,0,0,0
2026-06-09 19:11:10.005000+00:00,0:00:04.998974,17,0,0,0,0,0
2026-06-09 19:11:05.005000+00:00,0:00:04.999963,29,0,0,0,0,0
2026-06-09 19:11:00.004000+00:00,0:00:05.001133,19,0,66,67,0,0
2026-06-09 19:10:55.005000+00:00,0:00:04.998924,27,0,0,0,0,0
2026-06-09 19:10:50.005000+00:00,0:00:05.000077,25,0,0,0,0,0
2026-06-09 19:10:45.004000+00:00,0:00:05.000932,21,0,0,0,0,0
2026-06-09 19:10:40.004000+00:00,0:00:04.999835,23,0,0,0,0,0
2026-06-09 19:10:35.004000+00:00,0:00:05.000199,3,2,76,140,0,0
2026-06-09 19:10:30.005000+00:00,0:00:04.999013,0,2,601,1227,0,0
2026-06-09 19:10:25.004000+00:00,0:00:05.001038,0,2,957,1198,0,5
2026-06-09 19:10:20.004000+00:00,0:00:04.999986,0,1,600,607,0,5
2026-06-09 19:10:15.004000+00:00,0:00:04.999736,0,0,84,45,0,3
2026-06-09 19:09:50.005000+00:00,0:00:24.999079,0,0,0,0,0,0
2026-06-09 19:09:45.005000+00:00,0:00:05.000012,0,0,7,3,0,0
